n;block_type;rt;acc;chosen_answer;chosen_key;correct_key;stimulus_n;stimulus_list;clues_list;answers_n;answers_list;correct_answer;correct_answer_type;incorrect_answers_types;stimulus_category
0;training;2.323760899947956;1;Fela m³odsza ni¿ Ada;z;z;4;['Klara', 'Fela', 'Ada', 'Hania'];[Fela m³odsza ni¿ Ada, Klara m³odsza ni¿ Fela, Ada m³odsza ni¿ Hania];4;[Fela m³odsza ni¿ Ada, Hania m³odsza ni¿ Fela, Ada m³odsza ni¿ Fela, Hania m³odsza ni¿ Klara];Fela m³odsza ni¿ Ada;identical;{'identical': 0, 'reversed': 1, 'distance_1': 1, 'distance_2': 1};female
1;training;0.4083416999783367;0;Daria chudsza ni¿ Zuzia;z;m;4;['Ada', 'Olga', 'Zuzia', 'Daria'];[Zuzia chudsza ni¿ Daria, Zuzia grubsza ni¿ Olga, Olga grubsza ni¿ Ada];4;[Daria chudsza ni¿ Zuzia, Ada grubsza ni¿ Daria, Ada grubsza ni¿ Zuzia, Zuzia chudsza ni¿ Daria];Zuzia chudsza ni¿ Daria;identical;{'identical': 0, 'reversed': 1, 'distance_1': 1, 'distance_2': 1};female
